project,Release,Files,cloc,URL,History,Commits,Issues,Bug Issues,Fixed&Resolved Bug Issues ,linking commits,linking files,Buggy Files
HttpComponents-HttpClient,5,627,64893,http://hc.apache.org/,Dec 2005 - Aug 2017,2732,1801,1206,731,352,21,983
HttpComponents-HttpCore,4.1.3,727,62086,http://hc.apache.org/,Feb 2005 - Aug 2017,2804,467,242,185,169,9,398
Ignite,1.0.0,7216,786874,http://ignite.apache.org,Feb 2014 - Aug 2017,22436,6013,2531,1499,906,643,371
Isis,1.7.0,3518,170581,http://isis.apache.org,Jul 2004 - Aug 2017,8091,1693,419,333,299,177,402
Ivy,2.4.0,655,75451,http://ant.apache.org/ivy/,Jun 2005 - Aug 2017,2758,1556,922,594,525,361,316
Jackrabbit,1.4.1,3145,339061,http://jackrabbit.apache.org/,Sep 2004 - Jul 2017,8361,4071,2142,1464,1404,925,532
JamesServer,3.0.0,3402,249896,http://james.apache.org/server/,Sep 2006 - Aug 2017,2978,2037,970,704,186,153,247
jclouds,2.0.2,5258,356427,http://jclouds.apache.org,Apr 2009 - Aug 2017,10141,1325,684,395,244,221,269
Karaf,4.1.2,1227,100950,http://karaf.apache.org,Nov 2007 - Aug 2017,6344,5285,2467,1759,1215,533,130
Knox,0.13.0,942,71799,http://karaf.apache.org,Oct 2012 - Aug 2017,1098,992,577,426,334,237,231
Kylin,2.1.0,1188,123729,http://kylin.apache.org,May 2014 - Aug 2017,6368,2632,1381,928,545,318,357
Lens,1.1.0,845,99442,http://kylin.apache.org,May 2013 - Aug 2017,2286,1359,537,386,360,285,787
Log4j2,2.8.2,1702,127014,https://logging.apache.org/log4j/2.x/,May 2010 - Aug 2017,9425,1998,1023,634,543,323,136
Mahout,0.13.1,1220,109810,http://mahout.apache.org/,Jan 2008 - Jul 2017,3898,2005,779,597,499,156,11
ManifoldCF,2.7.1,1277,206822,http://manifoldcf.apache.org/,Jan 2010 - Aug 2017,4484,1447,728,632,585,363,970
